id,type,properties_json
project:C3-43KG,Project,"{""name"": ""C3 × 43 工况知识图谱智能体"", ""schema"": ""catwalk-c3-kg/v2""}"
model:C3,C3Model,"{""deck"": {""asset"": ""C3-UB-FT14-PARSER-SAFE_m14_667c504770b99d4a.inp"", ""download_url"": ""https://github.com/Hiram-test/model/releases/download/c3-ft14-parser-safe-667c5047/C3-UB-FT14-PARSER-SAFE_m14_667c504770b99d4a.inp"", ""sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""size_bytes"": 26839638}, ""modal_receipt"": {""active_equations"": 439122, ""dat_asset"": ""job.dat"", ""dat_sha256"": ""329a017f0356504ea5a360488ae0f87adfa39dae507119bdb9e622fb139c1208"", ""elements"": 172998, ""frequencies_hz"": [0.03677346, 0.07144416, 0.07267216, 0.07356089, 0.1012149, 0.1028555, 0.1101283, 0.1161726, 0.1248024, 0.1456783, 0.1464436, 0.1465091, 0.1465538, 0.1491063], ""modal_table_asset"": ""modal-table.txt"", ""modal_table_sha256"": ""6c78bbd32297e27734622597bd0c38d38074727bfad5aaeff91b1dfca9333312"", ""nodes"": 91415, ""requested_modes"": 14, ""spectral_shift"": -0.001}, ""model_id"": ""C3-UB-FT14-PARSER-SAFE"", ""not_transferred_as_c3_truth"": [""150-mode ROM response"", ""station RMS"", ""rope force"", ""support reaction"", ""capacity ratio"", ""legacy warning output""], ""object"": ""张靖皋长江大桥南航道桥施工猫道 C3"", ""release_tag"": ""c3-ft14-parser-safe-667c5047"", ""release_target_commit"": ""0358193b3d496bcc5ed461f592cc4fc2f6d746d3"", ""release_url"": ""https://github.com/Hiram-test/model/releases/tag/c3-ft14-parser-safe-667c5047"", ""response_state"": ""C3_43CASE_BUFFETING_NOT_MATERIALIZED"", ""schema_version"": ""catwalk-c3-model-binding/v2"", ""solver"": {""asset"": ""ccx-2.23-UCOR6-UCAB3-FT14-linux-x86_64"", ""download_url"": ""https://github.com/Hiram-test/model/releases/download/c3-ft14-parser-safe-667c5047/ccx-2.23-UCOR6-UCAB3-FT14-linux-x86_64"", ""sha256"": ""b498dad80b0415d53ab112409adc85b8a1fd19eb7846dc31e778f4c83b437a0e""}, ""transferred_from_double_mct"": [""43-case ontology"", ""four-agent workflow"", ""evidence lineage"", ""query semantics""]}"
artifact:C3-deck,EvidenceArtifact,"{""asset"": ""C3-UB-FT14-PARSER-SAFE_m14_667c504770b99d4a.inp"", ""download_url"": ""https://github.com/Hiram-test/model/releases/download/c3-ft14-parser-safe-667c5047/C3-UB-FT14-PARSER-SAFE_m14_667c504770b99d4a.inp"", ""sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""size_bytes"": 26839638}"
artifact:C3-solver,EvidenceArtifact,"{""asset"": ""ccx-2.23-UCOR6-UCAB3-FT14-linux-x86_64"", ""download_url"": ""https://github.com/Hiram-test/model/releases/download/c3-ft14-parser-safe-667c5047/ccx-2.23-UCOR6-UCAB3-FT14-linux-x86_64"", ""sha256"": ""b498dad80b0415d53ab112409adc85b8a1fd19eb7846dc31e778f4c83b437a0e""}"
run:C3-FT14,C3ModalRun,"{""active_equations"": 439122, ""dat_asset"": ""job.dat"", ""dat_sha256"": ""329a017f0356504ea5a360488ae0f87adfa39dae507119bdb9e622fb139c1208"", ""elements"": 172998, ""frequencies_hz"": [0.03677346, 0.07144416, 0.07267216, 0.07356089, 0.1012149, 0.1028555, 0.1101283, 0.1161726, 0.1248024, 0.1456783, 0.1464436, 0.1465091, 0.1465538, 0.1491063], ""modal_table_asset"": ""modal-table.txt"", ""modal_table_sha256"": ""6c78bbd32297e27734622597bd0c38d38074727bfad5aaeff91b1dfca9333312"", ""nodes"": 91415, ""requested_modes"": 14, ""spectral_shift"": -0.001}"
legacy:I08-double-mct,LegacyResultSet,"{""c3_disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""reason"": ""C3 topology, modal basis and model state differ from Double-MCT; response values require C3-native wind mapping and solve."", ""schema_version"": ""catwalk-double-mct-lineage/v1"", ""source_acceptance_sha256"": ""fecb6b42b53d734ed6e6243f83b0edc28549aae8c74a18d2b7c9735289dc3381"", ""source_branch"": ""feat/catwalk-ccx-gh43-double-mct-rom-results"", ""source_commit"": ""3b135b2c1a1b5c961ce68a101a0414fa0b525d85"", ""source_graph_counts"": {""agent_decisions"": 172, ""edges"": 2953, ""nodes"": 2520}, ""source_outcomes"": {""dispatch_true"": 0, ""not_armed"": 43, ""numerical_evidence_ready_human_review"": 27, ""reference_only"": 8, ""stationary_ok"": 35, ""stop_and_nonlinear_review"": 12}, ""source_package"": ""catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom"", ""source_rom"": ""complete double-width linear prestressed-tangent 150-mode ROM""}"
authority:I08-GITHUB43,SourceAuthority,"{""case_count"": 43, ""migrated_matrix_sha256"": ""95fe97e73b3bec61124147b9c29a4ed3abf6217537e8bf082eca707426f3625a"", ""newline_normalization"": ""CRLF_TO_LF"", ""receipt"": {""additional_github_blob_lineage"": {""artifacts/extreme_sweep_responses.csv"": ""0594ce8aa18d8898ca229d11300434ed1c97d636"", ""artifacts/gate_status.json"": ""bb09f98693b53c870c022b7d0067d727886e57c5"", ""code/buffeting.py"": ""9b0e7a266cd3f15a29122d6598feb96c35697bf2"", ""code/sweep_extreme.py"": ""644435df813d2f36e6e0408dd45f17e323e0e388"", ""config/site_wind.json"": ""8b2638be5ba724802a60751ef8d2ba62ff01825f""}, ""authority_status"": ""PASS_GITHUB_43_ORDERED_MATRIX_ONLY"", ""branch"": ""cursor/agentic-catwalk-fea-d416"", ""case_count"": 43, ""commit"": ""c1dfa02e12d82b20a1d34c389c501ce782befb49"", ""execution_scope"": {""ccx_decks_materialized"": false, ""ccx_invocations"": 0, ""matrix_created"": true, ""results_claimed"": false}, ""i07_disposition"": {""disposition"": ""DEPRECATED_FOR_GITHUB43_AUTHORITY_MATRIX_RETAINED_GATE_REVOKED"", ""exact_case_id_matches"": 0, ""github_case_count"": 43, ""i07_case_count"": 43, ""i07_matrix_path"": ""ccx_run/runs/CW-CCX-MCT-BUF-20260829-I07/I07_EXTREME_CASE_MATRIX.csv"", ""i07_matrix_sha256"": ""53c5274b1d1ee04001325b329ac757547f09757aef5357638fb9101707cb26ca"", ""matched_ids"": [], ""prohibited_claim"": ""I07 is the GitHub 43-scenario library""}, ""local_reference"": {""identity_rule"": ""remote blob SHA-1 comes from GitHub contents metadata; local snapshot is bound separately by SHA-256"", ""newline_normalization"": ""connector snapshot has one additional terminal LF relative to remote blob byte count"", ""path"": ""github_reference/c1dfa02e12d82b20a1d34c389c501ce782befb49/artifacts__extreme_weather_library.json"", ""remote_blob_sha_recomputed_from_local_bytes"": false, ""sha256"": ""1292bd5f6175e02ad36f3b4d63a9d35e56ad0cade195070f8f666a01857d7525"", ""size_bytes"": 18737}, ""ordered_github_scenario_ids"": [""site_gb50009_50yr"", ""site_gb50009_100yr"", ""site_sutong_100yr_obs"", ""hko_t10"", ""asce7_risk4_fl"", ""ss_cat1"", ""ss_cat2"", ""ss_cat3"", ""ss_cat4"", ""ss_cat5"", ""infa_2021_zhoushan"", ""doksuri_2023_jinjiang"", ""haiyan_2013_peak"", ""meranti_2016_peak"", ""goni_2020_landfall"", ""tip_1979_peak"", ""mangkhut_2018_peak"", ""lanyu_ryan_1995_gust"", ""patricia_2015_peak"", ""dorian_2019_landfall"", ""gustav_2008_cuba_gust"", ""amphan_2020_peak"", ""nargis_2008_peak"", ""bhola_1970_peak"", ""ef3_anchor"", ""ef4_anchor"", ""ef5_anchor"", ""funing_2016_ef4"", ""bridge_creek_1999_ref"", ""dongfangzhixing_2015_downburst"", ""andrews_afb_1983_microburst"", ""midwest_derecho_2020"", ""great_storm_1987"", ""lothar_1999"", ""bora_adriatic"", ""mistral_strong"", ""patagonia_westerlies"", ""xinjiang_baili_fengqu"", ""cape_denison_katabatic"", ""thule_1972_gust"", ""piteraq_tasiilaq"", ""barrow_olivia_1996"", ""mt_washington_1934""], ""ordered_i08_case_ids"": [""I08-site_gb50009_50yr-S20260805"", ""I08-site_gb50009_100yr-S20260805"", ""I08-site_sutong_100yr_obs-S20260805"", ""I08-hko_t10-S20260805"", ""I08-asce7_risk4_fl-S20260805"", ""I08-ss_cat1-S20260805"", ""I08-ss_cat2-S20260805"", ""I08-ss_cat3-S20260805"", ""I08-ss_cat4-S20260805"", ""I08-ss_cat5-S20260805"", ""I08-infa_2021_zhoushan-S20260805"", ""I08-doksuri_2023_jinjiang-S20260805"", ""I08-haiyan_2013_peak-S20260805"", ""I08-meranti_2016_peak-S20260805"", ""I08-goni_2020_landfall-S20260805"", ""I08-tip_1979_peak-S20260805"", ""I08-mangkhut_2018_peak-S20260805"", ""I08-lanyu_ryan_1995_gust-S20260805"", ""I08-patricia_2015_peak-S20260805"", ""I08-dorian_2019_landfall-S20260805"", ""I08-gustav_2008_cuba_gust-S20260805"", ""I08-amphan_2020_peak-S20260805"", ""I08-nargis_2008_peak-S20260805"", ""I08-bhola_1970_peak-S20260805"", ""I08-ef3_anchor-S20260805"", ""I08-ef4_anchor-S20260805"", ""I08-ef5_anchor-S20260805"", ""I08-funing_2016_ef4-S20260805"", ""I08-bridge_creek_1999_ref-S20260805"", ""I08-dongfangzhixing_2015_downburst-S20260805"", ""I08-andrews_afb_1983_microburst-S20260805"", ""I08-midwest_derecho_2020-S20260805"", ""I08-great_storm_1987-S20260805"", ""I08-lothar_1999-S20260805"", ""I08-bora_adriatic-S20260805"", ""I08-mistral_strong-S20260805"", ""I08-patagonia_westerlies-S20260805"", ""I08-xinjiang_baili_fengqu-S20260805"", ""I08-cape_denison_katabatic-S20260805"", ""I08-thule_1972_gust-S20260805"", ""I08-piteraq_tasiilaq-S20260805"", ""I08-barrow_olivia_1996-S20260805"", ""I08-mt_washington_1934-S20260805""], ""repository"": ""Hiram-test/model"", ""run_id"": ""CW-CCX-GH43-BUF-20260830-I08"", ""schema_version"": ""1.0.0"", ""seed_provenance"": {""github_spectral_sweep_has_random_seed"": false, ""i08_future_ccx_mapping_base_seed"": 20260805, ""u_offset"": 11, ""w_offset"": 29}, ""source_blob_sha1_from_github_api"": ""9b708839baf8e6ccf76df292556c4d5387bf9da4"", ""source_blob_size_from_github_api"": 18736, ""source_path"": ""catwalk-fem/true3d-extreme/artifacts/extreme_weather_library.json"", ""source_url"": ""https://github.com/Hiram-test/model/blob/c1dfa02e12d82b20a1d34c389c501ce782befb49/catwalk-fem/true3d-extreme/artifacts/extreme_weather_library.json"", ""unique_github_scenario_count"": 43}, ""source_matrix_sha256"": ""12673049d2cfae885fb5a35d855441e7385b644d1182a7cc020d5e49f5e28b7f"", ""use_as_c3_load_approval"": false}"
evidence-source:github-extreme-library,EvidenceSource,"{""commit"": ""c1dfa02e12d82b20a1d34c389c501ce782befb49"", ""repository"": ""Hiram-test/model"", ""source_blob_sha1"": ""9b708839baf8e6ccf76df292556c4d5387bf9da4"", ""source_path"": ""catwalk-fem/true3d-extreme/artifacts/extreme_weather_library.json""}"
event-library:github43,GitHubEventLibrary,"{""authority_status"": ""PASS_GITHUB_43_ORDERED_MATRIX_ONLY"", ""ordered_case_count"": 43}"
method:I08-Kaimal-Davenport,LegacySpectralMethod,"{""coherence_model"": ""Davenport_exp"", ""use_as_c3_approved_load"": false, ""wind_spectrum"": ""Kaimal""}"
