item_id,category,role,path,required,exists,size_bytes,modified_utc,sha256
S001,runner,V2主输入生成与启动器,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\prepare_and_run_v2.py,True,True,27565,2026-07-13T04:31:17.591134+00:00,f5ea295c48ea95d2c1b923590358e309c7d1b43d58d736f44596198cb9ea8efb
S002,builder,有限门架与横向通道生成器,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\builder\build_finite_gate_passage_apdl.py,True,True,167793,2026-07-13T18:18:18.981005+00:00,aa43f45b9c9def261e036c9465a9db7eb6f1ad266d78856e07737eb0b2462970
S003,builder_output,本轮隔离重生的有限门架与横向通道APDL include,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\ultra_runs\U00_SOURCE_GATE_20260715T024455Z\regenerated_source_chain\builder_generated\apply_finite_gates_and_passages_v2.inp,True,True,4265489,2026-07-15T02:52:00.663848+00:00,63a25cec281511f06a8734ecedbdae9daf13231b171bd5b11df464a3832f9706
S004,builder_audit,本轮隔离重生的有限拓扑生成审计,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\ultra_runs\U00_SOURCE_GATE_20260715T024455Z\regenerated_source_chain\builder_generated\build_audit.json,True,True,14200,2026-07-15T02:52:02.003720+00:00,87d3f7856a975486c566e3c33680425a285cc8a31a47545c714e2df792da1091
S005,mass,空间化MASS21生成器,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\generate_spatialized_mass21_v2.py,True,True,70768,2026-07-13T06:34:57.353461+00:00,193b004b178e3cd7a64a4b6e93943cb8c260f556c65b0dd94266892accdb5f21
S006,mass_output,本轮隔离重生的空间化MASS21 APDL include,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\ultra_runs\U00_SOURCE_GATE_20260715T024455Z\regenerated_source_chain\mass_generated\apply_dynamic_mass21_spatialized_v2.inp,True,True,1976987,2026-07-15T02:52:05.607072+00:00,fbcb56112f6783ea8654f231d06cd79aca491b0707dca2fd92fc9bbeb39a1f6d
S007,mass_audit,本轮隔离重生的空间化质量审计,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\ultra_runs\U00_SOURCE_GATE_20260715T024455Z\regenerated_source_chain\mass_generated\mass21_spatialization_audit_v2.json,True,True,8940,2026-07-15T02:52:06.728033+00:00,4a0919361003a5bfa4eccb8586406bbadc514fd44e68bffcbf32d72405953d13
S008,audit,权威横通道站位与质量映射,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\audit\passage_station_authoritative_map.csv,True,True,28819,2026-07-12T10:59:23.798693+00:00,66ff8521860815a8d8665aabf5ff909f64d8dd8d17263f754bf594f5583ed3ca
S009,audit,横通道站位质量闭合审计,D:\张靖皋大桥\03_猫道动力分析\附件2-3全模态精确对齐_V2.0\audit\passage_station_mass_map_audit.json,True,True,6925,2026-07-12T10:59:23.876655+00:00,9b31af2970df1cdf692cbca00e17d769f3375b770699558b25d2f89e1e1dad1b
S010,geometry,权威原索网节点,D:\张靖皋大桥\02_CAD几何模型\Catwalk_FullLine_ANSYS_AIValidation_V1.0\nodes.csv,True,True,1854557,2026-07-11T05:09:37.317453+00:00,b8c7f44823f5648f59af7791dcc5468656725fcc5e0f67b034ed7f3804727e5a
