case_index,github_scenario_id,i08_case_id,name_cn,category,region,confidence,stationarity,U10_sustained_ms,U_deck_ms,Iu,gust3s_ms,qa_status,slack_screen_flag,slack_screen_count,carrying_slack_screen_count,gantry_slack_screen_count,minimum_rope_mean_minus_3p5sigma_kn,linearity_boundary_status,result_interpretation_status,rope_capacity_status,q_relative_frobenius_error,v_relative_frobenius_error,dummy_q_max_abs,dummy_v_max_abs,modal_covariance_trace,stationarity_half_sigma_relative_difference_max,stationarity_half_mean_difference_over_sigma_max,stationarity_diagnostic_is_acceptance_gate,lateral_common_m__mean,lateral_common_m__sigma,lateral_common_m__mean_plus_3p5sigma,lateral_common_m__mean_minus_3p5sigma,vertical_common_m__mean,vertical_common_m__sigma,vertical_common_m__mean_plus_3p5sigma,vertical_common_m__mean_minus_3p5sigma,local_roll_L_deg__mean,local_roll_L_deg__sigma,local_roll_L_deg__mean_plus_3p5sigma,local_roll_L_deg__mean_minus_3p5sigma,local_roll_R_deg__mean,local_roll_R_deg__sigma,local_roll_R_deg__mean_plus_3p5sigma,local_roll_R_deg__mean_minus_3p5sigma,system_roll_deg__mean,system_roll_deg__sigma,system_roll_deg__mean_plus_3p5sigma,system_roll_deg__mean_minus_3p5sigma,critical_carrying_overall__width,critical_carrying_overall__element_id,critical_carrying_overall__mean_tension_per_rope_kn,critical_carrying_overall__sigma_per_rope_kn,critical_carrying_overall__mean_plus_3p5sigma_kn,critical_carrying_overall__mean_minus_3p5sigma_kn,critical_carrying_overall__slack_screen_flag,critical_carrying_overall__capacity_ratio_break_to_peak,critical_carrying_overall__capacity_status,critical_carrying_main_span__width,critical_carrying_main_span__element_id,critical_carrying_main_span__mean_tension_per_rope_kn,critical_carrying_main_span__sigma_per_rope_kn,critical_carrying_main_span__mean_plus_3p5sigma_kn,critical_carrying_main_span__mean_minus_3p5sigma_kn,critical_carrying_main_span__slack_screen_flag,critical_carrying_main_span__capacity_ratio_break_to_peak,critical_carrying_main_span__capacity_status,critical_gantry__width,critical_gantry__element_id,critical_gantry__mean_tension_per_rope_kn,critical_gantry__sigma_per_rope_kn,critical_gantry__mean_plus_3p5sigma_kn,critical_gantry__mean_minus_3p5sigma_kn,critical_gantry__slack_screen_flag,critical_gantry__capacity_ratio_break_to_peak,critical_gantry__capacity_status
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,GB50009 江苏沿江50年基本风速,design_code,中国江苏,B,stationary_ok,26.8,32.71971935969148,0.12,,PASS,False,0,0,0,81.40724632644502,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.1969080420344142e-07,6.229736578790288e-08,5.585472e-14,1.197955e-13,453992086.0909687,0.34529955647259436,0.12014942191826661,False,25.41298090512228,20.43486922826364,96.93502320404502,-46.10906139380046,-0.12794759521644541,0.5923239782842836,1.9451863287785474,-2.201081519211438,1.9108646590060607,0.5580000846189659,3.863864955172441,-0.04213563716031987,1.9108628938176264,0.5590791934305483,3.8676400708245455,-0.04591428318929269,0.38468643441938527,0.43918142609121186,1.9218214257386268,-1.1524485568998564,L,2,982.7687499999988,2.0051228161909137e-12,982.7687500000059,982.7687499999918,False,2.4217294251572263,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,696.8846070332622,8.18604938606267,725.5357798844816,668.2334341820429,False,3.280334431444496,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,567.4651154619402,8.405116264335774,596.8830223871154,538.047208536765,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,GB50009 江苏沿江100年基本风速,design_code,中国江苏,B,stationary_ok,28.3,34.551046935793615,0.12,,PASS,False,0,0,0,79.87574013094611,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.070739703898895e-07,8.657378671401685e-08,6.400112e-14,1.389222e-13,589980575.8694113,0.34449843965810306,0.1178693434617567,False,28.3373277415674,23.294824113699757,109.86921213951655,-53.19455665638176,-0.14267090322580062,0.6789260591009867,2.2335703036276526,-2.518912110079254,2.130753504053468,0.6287352946759183,4.331327035419182,-0.06982002731224579,2.130751535739583,0.6300236463972504,4.33583429812996,-0.07433122665079361,0.42895343960534277,0.48985498726794613,2.143445895043154,-1.2855390158324687,L,2,982.7687499999986,2.2996777622160594e-12,982.7687500000067,982.7687499999905,False,2.421729425157224,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,697.958767858751,9.297561573522668,730.5002333660804,665.4173023514217,False,3.258041395870842,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,568.5558285841965,9.547206638424463,601.9710518186822,535.1406053497109,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
3,site_sutong_100yr_obs,I08-site_sutong_100yr_obs-S20260805,苏通桥址实测百年设计风速,design_code,长江下游江面,A,stationary_ok,38.9,47.49242847358203,0.11,,PASS,False,0,0,0,67.79850183711174,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,5.9185019303324033e-08,1.887987560487518e-07,1.311011e-13,3.032633e-13,2219404282.605883,0.3393919193744556,0.10456156504091119,False,53.54084544920928,45.17341369166679,211.64779337004305,-104.56610247162448,-0.26956390699136407,1.3551189301552846,4.473352348552131,-5.01248016253486,4.025868109064601,1.1711202003366294,8.124788810242805,-0.07305259211360227,4.025864390111619,1.1742252710054077,8.135652838630545,-0.08392405840730799,0.8104691460065679,0.8445601572928773,3.7664296965316386,-2.1454914045185025,L,2,982.7687499999975,4.64224764516765e-12,982.7687500000137,982.7687499999812,False,2.421729425157207,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,707.2164356048155,17.768943899788745,769.4077392540761,645.0251319555549,False,3.0932883548940615,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,577.956152495214,18.251221375360345,641.8354273089752,514.0768776814529,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
4,hko_t10,I08-hko_t10-S20260805,香港十号台风信号阈值,design_code,香港,B,stationary_ok,32.8,40.045029664100014,0.12,,PASS,False,0,0,0,74.50939846579698,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,7.841694695511656e-08,1.700099892605518e-07,9.267867e-14,2.07733e-13,1190360369.552133,0.3422154689255767,0.11176552684104374,False,38.06569026643842,33.08653434822679,153.8685604852322,-77.73717995235535,-0.19165061934403618,0.9781075016247371,3.231725636342544,-3.6150268750306163,2.862253055726607,0.8709300591724698,5.910508262830251,-0.18600215137703735,2.862250411679597,0.8729751908947174,5.917663579811109,-0.19316275645191405,0.5762155457865772,0.6571792611298932,2.8763429597412036,-1.7239118681680492,L,2,982.7687499999981,3.325144665670671e-12,982.7687500000097,982.7687499999865,False,2.4217294251572166,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,701.5321558680452,13.097891766215945,747.374777049801,655.6895346862893,False,3.1844799598333378,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,572.1842807676734,13.452060782089696,619.2664935049874,525.1020680303594,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
5,asce7_risk4_fl,I08-asce7_risk4_fl-S20260805,ASCE 7 IV类风险佛州角风区,design_code,美国佛罗里达,B,stationary_ok,58.3,71.17759845783631,0.12,82.8,PASS,False,0,0,0,24.351633791514942,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.7760112261491955e-07,9.149911145477617e-08,4.133889e-13,9.842786e-13,16490444574.012716,0.38642908371876844,0.08461246992993508,False,120.26053501421677,123.09193013191538,551.0822904759206,-310.561220447487,-0.6054797865688686,3.779484593178827,12.622716289557026,-13.833675862694761,9.042685983583628,3.2847990444993203,20.539482639331247,-2.454110672163994,9.042677630273706,3.294778107451961,20.574401006355572,-2.4890457458081574,1.8204317151421578,2.063941450184205,9.044226790786874,-5.403363360502559,L,2,982.7687499999944,1.3331705505180336e-11,982.768750000041,982.7687499999478,False,2.4217294251571397,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,731.7236780174936,48.2594718729972,900.6318295729839,562.8155264620034,False,2.642589259951459,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,602.8410396141038,49.55181256086718,776.272383577139,429.40969565106866,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
6,ss_cat1,I08-ss_cat1-S20260805,萨菲尔-辛普森1级下限,hurricane,大西洋/东太平洋,B,stationary_ok,28.9,35.28357796623447,0.12,,PASS,False,0,0,0,79.22077893362552,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.0208940542920967e-07,1.0423620971702355e-07,6.745243e-14,1.470895e-13,652359204.1555909,0.34418364172460225,0.11699763426054263,False,29.551648170203812,24.495184514575012,115.28479397121635,-56.18149763080873,-0.14878468339375048,0.7153988374845474,2.3551112478021654,-2.6526806145896664,2.222061249510542,0.658388695500915,4.526421683763745,-0.08229918474266062,2.222059196849827,0.6597666782562747,4.531242570746788,-0.08712417704713449,0.44733509257548276,0.5108358029407285,2.2352604028680325,-1.3405902177170672,L,2,982.7687499999986,2.42404251315213e-12,982.7687500000071,982.7687499999901,False,2.4217294251572232,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,698.4048077804786,9.763760568660476,732.5779697707902,664.2316457901669,False,3.2488009443481585,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,569.0087417645454,10.026235056233643,604.1005644613632,533.9169190677277,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
7,ss_cat2,I08-ss_cat2-S20260805,萨菲尔-辛普森2级下限,hurricane,大西洋/东太平洋,B,stationary_ok,37.7,46.027366412700324,0.12,,PASS,False,0,0,0,67.47834965111204,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,5.819471210101429e-08,1.865679970695324e-07,1.316486e-13,3.037484e-13,2284114021.6324425,0.3399245550532927,0.10591499570970186,False,50.28850472076357,45.82825198784517,210.68738667822166,-110.11037723669452,-0.25318923703105045,1.3713143827240861,4.54641110250325,-5.052789576565352,3.7813165950082475,1.1900011784176976,7.946320719470189,-0.38368752945369433,3.781313101963205,1.1930956531453811,7.957147887972039,-0.39452168404562915,0.7612371663732568,0.8659144438509078,3.791937719851434,-2.26946338710492,L,2,982.7687499999976,4.6899100016279255e-12,982.7687500000139,982.7687499999812,False,2.4217294251572064,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,706.0217972130558,18.04330891567569,769.1733784179207,642.8702160081909,False,3.0942308545510486,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,576.743105305888,18.532886745172988,641.6082089139934,511.8780016977825,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
8,ss_cat3,I08-ss_cat3-S20260805,萨菲尔-辛普森3级下限,hurricane,大西洋/东太平洋,B,stationary_ok,43.9,53.59685372725581,0.12,,PASS,False,0,0,0,56.79508042060522,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.462141605608385e-07,1.510366161285837e-07,1.968201e-13,4.596257e-13,4605330046.207734,0.3431636292668394,0.09913678494661507,False,68.18911635408875,65.06600247376598,295.92012501226964,-159.54189230409216,-0.3433140523739777,1.969153956606897,6.548724795750162,-7.235352900498117,5.127307695871949,1.6852784277928239,11.025782193146831,-0.7711668014029351,5.127302959448467,1.6900356755297683,11.042427823802655,-0.787821904905722,1.0322058688981168,1.170932236163306,5.130468695469688,-3.0660569576734544,L,2,982.7687499999968,6.79582666565063e-12,982.7687500000205,982.768749999973,False,2.42172942515719,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,712.5969871081717,25.52681213385141,801.9408295766516,623.2531446396918,False,2.967800007459919,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,583.4196156847374,26.219235104346293,675.1869385499494,491.6522928195254,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
9,ss_cat4,I08-ss_cat4-S20260805,萨菲尔-辛普森4级下限,hurricane,大西洋/东太平洋,B,stationary_ok,50.9,62.14304908239911,0.12,,PASS,False,0,0,0,42.3430814804887,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.9692411182492655e-07,1.1723488219493812e-07,2.90338e-13,6.852617e-13,9001777633.547676,0.36943971688052557,0.09191983079562555,False,91.66880855814186,90.9561246122484,410.0152447010112,-226.67762758472753,-0.46152805352350046,2.7767541376297937,9.257111428180778,-10.180167535227778,6.89280361327619,2.3800093029707208,15.222836173673713,-1.4372289471213335,6.892797245950715,2.3870765327171304,15.24756511046067,-1.4619706185592412,1.387627340663409,1.5721985182726326,6.890322154617623,-4.1150674732908055,L,2,982.7687499999957,9.686943447687293e-12,982.7687500000296,982.7687499999619,False,2.4217294251571677,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,721.2214653150006,35.64024575588405,845.9623254605948,596.4806051694064,False,2.813364056968115,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,592.1769929131617,36.602492348091175,720.2857161314809,464.06826969484257,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
10,ss_cat5,I08-ss_cat5-S20260805,萨菲尔-辛普森5级下限,hurricane,大西洋/东太平洋,B,stationary_ok,61.4,74.96234211511405,0.12,,PASS,False,0,0,0,16.002215318835212,LINEAR_ROM_ONLY_NO_GEOMETRIC_NONLINEARITY_GATE_DEFINED,STATIONARY_LINEAR_ROM_RESULT,CARRYING_EVALUATED_GANTRY_NOT_EVALUATED,1.6246215569091662e-07,8.41499513200195e-08,4.725317e-13,1.128583e-12,20727129407.4038,0.3908952444865896,0.0816440597217435,False,133.3898439143946,137.99457701909012,616.37086348121,-349.5911756524208,-0.6715823625281111,4.243840261218719,14.181858551737406,-15.525023276793629,10.029911074106828,3.7188728987721347,23.0459662198093,-2.9861440715956444,10.029901808833669,3.7302081355825143,23.085630283372467,-3.0258266657051305,2.0191753039425615,2.2908533933794124,10.037162180770505,-5.998811572885383,L,2,982.7687499999937,1.5035541063756327e-11,982.7687500000463,982.7687499999411,False,2.4217294251571264,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,160,736.5462897236539,54.13399433876564,926.0152699093336,547.0773095379742,False,2.5701520021727355,EVALUATED_DOCUMENTED_2380_KN_PER_PHYSICAL_ROPE,L,1066,607.7379654250615,55.577724473306226,802.2600010816333,413.2159297684897,False,,NOT_EVALUATED_GANTRY_BREAK_FORCE_UNAVAILABLE
