id,classification,priority,setting,evidence,verified_conclusion,required_action
ERR-BEAM188-ORIENTATION-AXIS-001,明确错误,P0,BEAM188方向节点与Iyy/Izz,"builder/build_finite_gate_passage_apdl.py:1188-1201; run/apply_finite_gates_and_passages_v2.inp:53-54,73,29683; ANSYS BEAM188官方K节点定义","K节点定义local x-z平面；代表横梁local z=global Z而非local y=global Z；截面61强弱轴对调，2698根受影响，竖弯惯量比约0.349","纠正K节点规则或交换Iyy/Izz；逐件复核2898根RHS50x30滚转方向；只做单梁解析验证"
ERR-ASEC-SHEAR-001,明确错误,P0,ASEC横向剪切刚度,"run/apply_finite_gates_and_passages_v2.inp:35-51; ANSYS BEAM188官方剪切修正说明","六类ASEC未显式输入横向剪切刚度；材料63-65共10521根圆管缺少已封板口径","按截面类型显式定义剪切刚度/修正并做单构件解析核验"
ERR-CERIG-NLGEOM-001,明确错误,P0,CERIG与NLGEOM,"run/apply_finite_gates_and_passages_v2.inp; run/v2_constraint_equations.txt; ANSYS CERIG官方文档","5078条CERIG生成21096条小挠度CE；官方不支持large-deflection，现主链却NLGEOM ON","按真实接口改为可更新MPC/接触MPC/有限短刚臂，并从头重算NLGEOM静力与摄动"
RISK-DOWNPULL-CP-001,高风险待源证,P0,塔位下拉索CP,"run/apply_mct_downpull_equivalent_xlong.inp:15-53; ANSYS CP官方文档","12组CP把非共点17节点同平动耦合；底索横桥跨度5340mm，官方说明会产生人工力矩约束","取得鞍座/下拉索真实运动学；不得用EX补偿"
ERR-RUNNER-DISABLED-001,明确错误,P0,动力runner,"prepare_and_run_v2.py:35-44,526-545","当前入口已硬禁用；底层仍固定共享run目录和attachment23_v2作业名","实现独立run_id、唯一jobname、只读输入快照和完整SHA-256 manifest后再审查"
RISK-BEAM-WARPING-001,高风险待源证,P1,BEAM188翘曲,"run/apply_finite_gates_and_passages_v2.inp:8-51; ANSYS BEAM188官方文档","TYPE70 KEYOPT(1)=0，截面61虽写Iw=6.60668E10也未激活WARP","按开口H截面端接详图裁定KEYOPT(1)和warping release"
RISK-BEAM-END-CONNECTION-001,高风险待源证,P1,梁端释放与偏心,"全装配文本检索ENDRELEASE/SECOFFSET为0；builder README已声明缺连接详图","所有新梁端为共享节点或CERIG刚接；销轴、螺栓、焊接、偏心没有逐接口封板","建立连接台账并按图设置release/offset/刚臂"
RISK-MASS-ROTARY-001,高风险待源证,P1,MASS21转动惯量,"run/apply_dynamic_mass21_spatialized_v2.inp; mass21_spatialization_audit_v2.json","33003个MASS21用KEYOPT(3)=2，仅有平动质量；总质量闭合不等于内禀转动惯量完整","补构件质量-质心-内禀惯量来源及可忽略性说明"
ERR-INERTIA-BOUND-001,明确错误,P1,扭转质量惯量上界,"audit_mass_torsional_inertia_bounds.py:47-48; mass21_spatialized_v2_nodes.csv","旧脚本硬编码|Y|=24120mm，实际质量节点到25140mm；1.089292不是严格上界，修正估计约1.115499","更正审计，不授权质量外移"
RISK-ROTY-001,高风险待源证,P1,横梁ROTY稳定,"run/apply_modal_roty_stabilization_xlong.inp; 2860个横梁连通分量只读核对","每分量一个ROTY=0有消除共同扭转零能DOF的数值逻辑，但物理中性尚未用约束反力/零空间证明","核对约束反力与零空间，不做频率拟合"
RISK-TARGET-MODEL-EQUIVALENCE-001,高风险待源证,P1,附件目标模型与当前V2等价性,"附件2-3报告第4.1节；run完整装配输入","报告明确LINK10/BEAM4及扶手等均布质量；当前为LINK180/BEAM188/MASS21和有限接口，缺原ANSYS输入、释放、方向及质量归一化证明","建立逐项设置差异表；不得用频率拟合替代模型等价证明"
OK-LINK-001,确认正确,OK,LINK180,"run/apply_mct_authoritative_initial_state_link180.inp; run/audit_v2_static_link180_force_20260713.txt","73692根LINK180均有正初始状态；现有静力力结果全受拉","保持，并继续用静力索力文件核验"
OK-MASS-CLOSURE-001,确认正确,OK,质量与重力闭合,"mass21_spatialization_audit_v2.json; run/v2_static_mass_closure.txt","分布索质量3144.655526793t、MASS21 963.811380787t、总质量4108.46690758t；反力误差约1.63E-4N","保持总量闭合，但继续核对空间位置和内禀惯量"
OK-TOPO-001,确认正确,OK,显式拓扑,"run/v2_topology_counts.txt; builder/generated/build_audit.json","109086节点、172994单元；未发现零长、重复边、缺节点或显式编号覆盖","保持并补齐builder原始输入哈希"
OK-PERTURB-ORDER-001,确认正确,OK,拟采用的静力到线性摄动顺序,"prepare_and_run_v2.py","STATIC/NLGEOM到ANTYPE RESTART PERTURB、SOLVE ELFORM、MODOPT/MXPAND的组织顺序符合官方流程；当前入口禁用且无结果","修复轴/截面/连接和runner后按同序从头重算"
