source_entity,target_entity,migration_action,value_transfer,status,reason
I08_GITHUB_43_CASE_MATRIX,authority/I08_GITHUB_43_CASE_MATRIX.csv,preserve_full_authority_and_apply_c3_overlay,false,ADAPTED,完整43×37源权威仅作provenance且源顺序与C3顺序分离
AuthorityAgent,AuthorityAgent,rule_reexecution_with_full_authority,false,ADAPTED,在C3映射上重跑权威规则而非复制旧决策
SolverEvidenceAgent,SolverEvidenceAgent,c3_native_evidence_adapter,false,ADAPTED,C3仅绑定原生14阶模态证据且工况响应未物化
PhysicsBoundaryAgent,PhysicsBoundaryAgent,rule_reexecution_with_c3_eligibility,false,ADAPTED,源35比8分类与C3的33比10策略分别保存
WarningPolicyAgent,WarningPolicyAgent,policy_reexecution_output_disabled,false,ADAPTED,输出保持NOT_ARMED且不派发
I08_150_MODE_ROM,C3_FT14_MODAL_RECEIPT,lineage_only,false,CUT,自由度和模态基底不同
I08_43CASE_MASTER,C3_CaseResponse,lineage_only,false,CUT,Double-MCT响应不得改名为C3响应
I08_STATION_RESULTS,C3_StationResponse,lineage_only,false,CUT,C3尚未物化风响应
I08_ROPE_RESULTS,C3_RopeResponse,lineage_only,false,CUT,C3索力恢复尚未建立
I08_CAPACITY_RATIO,C3_CapacityAssessment,lineage_only,false,CUT,容量比依赖C3响应和正式阈值
I08_AGENT_SIMULATION_43_TRACE,C3_AGENT_TRACE,recompute_rules,false,REBUILT,对43工况重新执行C3证据状态推演且不复制旧trace值
I08_KNOWLEDGE_GRAPH,knowledge_graph_c3.json,rebuild_semantics_and_endpoints,false,REBUILT,排除2064个旧数值MetricObservation并重建C3证据端点
