id,source,relation,target,properties_json
edge:0001,project:C3-43KG,BINDS_MODEL,model:C3,{}
edge:0002,model:C3,EVIDENCED_BY,artifact:C3-deck,{}
edge:0003,model:C3,SOLVED_BY,artifact:C3-solver,{}
edge:0004,model:C3,HAS_MODAL_RUN,run:C3-FT14,{}
edge:0005,legacy:I08-double-mct,PROVENANCE_ONLY_FOR,project:C3-43KG,"{""numerical_value_transfer"": false}"
edge:0006,project:C3-43KG,DERIVES_CASES_FROM,authority:I08-GITHUB43,{}
edge:0007,event-library:github43,EVIDENCED_BY,evidence-source:github-extreme-library,{}
edge:0008,authority:I08-GITHUB43,MATERIALIZES,event-library:github43,{}
edge:0009,legacy:I08-double-mct,USED_SPECTRAL_METHOD,method:I08-Kaimal-Davenport,{}
edge:0010,project:C3-43KG,SUBJECT_TO,boundary:C3-native-response,{}
edge:0011,project:C3-43KG,SUBJECT_TO,gate:C3-model-migration,{}
edge:0012,project:C3-43KG,SUBJECT_TO,policy:warning-not-armed,{}
edge:0013,legacy:I08-double-mct,RESTRICTED_BY,limitation:01,{}
edge:0014,project:C3-43KG,INHERITS_BOUNDARY,limitation:01,{}
edge:0015,legacy:I08-double-mct,RESTRICTED_BY,limitation:02,{}
edge:0016,project:C3-43KG,INHERITS_BOUNDARY,limitation:02,{}
edge:0017,legacy:I08-double-mct,RESTRICTED_BY,limitation:03,{}
edge:0018,project:C3-43KG,INHERITS_BOUNDARY,limitation:03,{}
edge:0019,project:C3-43KG,USES_AGENT,agent:AuthorityAgent,{}
edge:0020,project:C3-43KG,USES_AGENT,agent:SolverEvidenceAgent,{}
edge:0021,project:C3-43KG,USES_AGENT,agent:PhysicsBoundaryAgent,{}
edge:0022,project:C3-43KG,USES_AGENT,agent:WarningPolicyAgent,{}
edge:0023,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:01,"{""disposition"": ""PROVENANCE_ONLY"", ""numerical_value_transfer"": false}"
edge:0024,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:02,"{""disposition"": ""PROVENANCE_ONLY"", ""numerical_value_transfer"": false}"
edge:0025,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:03,"{""disposition"": ""VENDORED_EXACT_AUTHORITY"", ""numerical_value_transfer"": false}"
edge:0026,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:04,"{""disposition"": ""VENDORED_NORMALIZED_AUTHORITY"", ""numerical_value_transfer"": false}"
edge:0027,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:05,"{""disposition"": ""SOURCE_JSON_BOUND_BY_HASH_CSV_VENDORED"", ""numerical_value_transfer"": false}"
edge:0028,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:06,"{""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""numerical_value_transfer"": false}"
edge:0029,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:07,"{""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""numerical_value_transfer"": false}"
edge:0030,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:08,"{""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""numerical_value_transfer"": false}"
edge:0031,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:09,"{""disposition"": ""SOURCE_DOCUMENT_BOUND_BY_HASH_C3_DOC_REWRITTEN"", ""numerical_value_transfer"": false}"
edge:0032,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:10,"{""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""numerical_value_transfer"": false}"
edge:0033,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:11,"{""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""numerical_value_transfer"": false}"
edge:0034,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:12,"{""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""numerical_value_transfer"": false}"
edge:0035,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:13,"{""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""numerical_value_transfer"": false}"
edge:0036,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:14,"{""disposition"": ""AUDIT_LOG_RETAINED_IN_SOURCE_BRANCH"", ""numerical_value_transfer"": false}"
edge:0037,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:15,"{""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""numerical_value_transfer"": false}"
edge:0038,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:16,"{""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""numerical_value_transfer"": false}"
edge:0039,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:17,"{""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""numerical_value_transfer"": false}"
edge:0040,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:18,"{""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""numerical_value_transfer"": false}"
edge:0041,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:19,"{""disposition"": ""PROVENANCE_ONLY_C3_REQUIRES_NATIVE_EXECUTION"", ""numerical_value_transfer"": false}"
edge:0042,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:20,"{""disposition"": ""RULES_REEXECUTED_ON_C3_NO_TRACE_VALUE_COPY"", ""numerical_value_transfer"": false}"
edge:0043,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:21,"{""disposition"": ""SOURCE_GRAPH_RECEIPT_BOUND_BY_HASH"", ""numerical_value_transfer"": false}"
edge:0044,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:22,"{""disposition"": ""SOURCE_GRAPH_RECEIPT_BOUND_BY_HASH"", ""numerical_value_transfer"": false}"
edge:0045,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:23,"{""disposition"": ""SOURCE_GRAPH_RECEIPT_BOUND_BY_HASH"", ""numerical_value_transfer"": false}"
edge:0046,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:24,"{""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0047,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:25,"{""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0048,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:26,"{""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0049,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:27,"{""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0050,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:28,"{""disposition"": ""PROVENANCE_ONLY_NO_ROM_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0051,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:29,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0052,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:30,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0053,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:31,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0054,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:32,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0055,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:33,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0056,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:34,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0057,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:35,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0058,legacy:I08-double-mct,HAS_SOURCE_ASSET,source-asset:I08:36,"{""disposition"": ""PROVENANCE_ONLY_NO_NUMERICAL_VALUE_TRANSFER"", ""numerical_value_transfer"": false}"
edge:0059,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:01,{}
edge:0060,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:02,{}
edge:0061,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:03,{}
edge:0062,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:04,{}
edge:0063,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:05,{}
edge:0064,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:06,{}
edge:0065,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:07,{}
edge:0066,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:08,{}
edge:0067,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:09,{}
edge:0068,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:10,{}
edge:0069,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:11,{}
edge:0070,project:C3-43KG,USES_MIGRATION_RULE,migration-rule:12,{}
edge:0071,project:C3-43KG,HAS_WIND_GROUP,group:G0_site,{}
edge:0072,project:C3-43KG,HAS_WIND_GROUP,group:G1_typhoon,{}
edge:0073,project:C3-43KG,HAS_WIND_GROUP,group:G2_hurricane,{}
edge:0074,project:C3-43KG,HAS_WIND_GROUP,group:G3_bob,{}
edge:0075,project:C3-43KG,HAS_WIND_GROUP,group:G4_tornado,{}
edge:0076,project:C3-43KG,HAS_WIND_GROUP,group:G5_downburst,{}
edge:0077,project:C3-43KG,HAS_WIND_GROUP,group:G6_temperate,{}
edge:0078,project:C3-43KG,HAS_WIND_GROUP,group:G7_polar,{}
edge:0079,project:C3-43KG,HAS_WIND_GROUP,group:G8_record,{}
edge:0080,run:C3-FT14,HAS_MODE,mode:C3-M01,{}
edge:0081,run:C3-FT14,HAS_MODE,mode:C3-M02,{}
edge:0082,run:C3-FT14,HAS_MODE,mode:C3-M03,{}
edge:0083,run:C3-FT14,HAS_MODE,mode:C3-M04,{}
edge:0084,run:C3-FT14,HAS_MODE,mode:C3-M05,{}
edge:0085,run:C3-FT14,HAS_MODE,mode:C3-M06,{}
edge:0086,run:C3-FT14,HAS_MODE,mode:C3-M07,{}
edge:0087,run:C3-FT14,HAS_MODE,mode:C3-M08,{}
edge:0088,run:C3-FT14,HAS_MODE,mode:C3-M09,{}
edge:0089,run:C3-FT14,HAS_MODE,mode:C3-M10,{}
edge:0090,run:C3-FT14,HAS_MODE,mode:C3-M11,{}
edge:0091,run:C3-FT14,HAS_MODE,mode:C3-M12,{}
edge:0092,run:C3-FT14,HAS_MODE,mode:C3-M13,{}
edge:0093,run:C3-FT14,HAS_MODE,mode:C3-M14,{}
edge:0094,project:C3-43KG,HAS_CASE,case:C3-site_sutong_100yr_obs-S20260830,{}
edge:0095,authority:I08-GITHUB43,CONTAINS_AUTHORITY_RECORD,authority-record:site_sutong_100yr_obs,{}
edge:0096,case:C3-site_sutong_100yr_obs-S20260830,DERIVED_FROM_AUTHORITY,authority-record:site_sutong_100yr_obs,"{""c3_order"": 1, ""source_case_index"": 3}"
edge:0097,event-library:github43,CONTAINS_EVENT,github-event:site_sutong_100yr_obs,{}
edge:0098,github-event:site_sutong_100yr_obs,MAPPED_TO,case:C3-site_sutong_100yr_obs-S20260830,"{""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE""}"
edge:0099,case:C3-site_sutong_100yr_obs-S20260830,EVIDENCED_BY,evidence-bundle:C3-site_sutong_100yr_obs-S20260830,{}
